DIY SpaceMouse guided capture
port=/dev/cu.usbmodem2101
baud=115200
duration_s=6.0

Paste these blocks back to me after recording each movement

[center_free]
instruction=Leave the cap centered and do not press Z.
start_s=5.459, end_s=11.464, duration_s=6.004, samples=1161
x: start=0.0980, end=0.3920, delta=0.2940, min=0.0000, max=0.4900, mean=0.2598, span=0.4900
y: start=-0.0980, end=0.0000, delta=0.0980, min=-0.3920, max=0.0980, mean=-0.1415, span=0.4900
z: start=4.0180, end=3.9200, delta=-0.0980, min=3.6260, max=4.2140, mean=3.9617, span=0.5880
raw_samples:
  5.459s 098000,3.920000
  5.459s 0.098000,-0.098000,4.018000
  5.460s 0.294000,-0.294000,3.822000
  5.460s 0.294000,-0.098000,3.920000
  5.460s 0.294000,0.000000,4.018000
  5.460s 0.196000,-0.294000,3.822000
  5.461s 0.490000,-0.098000,4.018000
  5.461s 0.294000,-0.098000,4.018000
  5.461s 0.196000,0.000000,3.920000
  5.461s 0.294000,-0.196000,4.018000
  5.462s 0.000000,-0.098000,4.018000
  5.462s 0.294000,-0.098000,3.920000
  5.462s 0.392000,-0.098000,3.822000
  5.462s 0.490000,-0.196000,4.018000
  5.463s 0.196000,-0.098000,4.018000
  5.463s 0.098000,-0.196000,4.018000
  5.463s 0.294000,-0.098000,3.920000
  5.463s 0.196000,-0.098000,3.920000
  5.463s 0.196000,-0.196000,4.018000
  5.464s 0.294000,-0.196000,3.822000
  5.464s 0.196000,-0.196000,3.920000
  5.464s 0.392000,-0.294000,4.214000
  5.464s 0.294000,-0.294000,4.116000
  5.464s 0.294000,-0.098000,4.116000
  5.464s 0.196000,-0.098000,4.018000
  5.465s 0.392000,-0.098000,4.018000
  5.465s 0.294000,-0.098000,3.920000
  5.465s 0.392000,-0.098000,4.116000
  5.465s 0.392000,-0.098000,4.018000
  5.465s 0.392000,-0.098000,4.018000
  5.465s 0.196000,-0.196000,3.920000
  5.465s 0.196000,-0.196000,3.920000
  5.466s 0.196000,-0.098000,4.116000
  5.466s 0.098000,0.000000,3.920000
  5.466s 0.294000,-0.098000,3.626000
  5.466s 0.196000,-0.196000,3.920000
  5.466s 0.294000,0.000000,3.920000
  5.467s 0.196000,-0.196000,3.822000
  5.467s 0.392000,-0.196000,4.018000
  5.467s 0.098000,0.000000,3.920000
  5.467s 0.490000,-0.196000,4.116000
  5.467s 0.098000,-0.294000,4.018000
  5.467s 0.392000,-0.098000,4.018000
  5.468s 0.294000,-0.098000,3.920000
  5.468s 0.196000,-0.098000,3.822000
  5.468s 0.294000,-0.098000,4.116000
  5.468s 0.392000,-0.098000,4.116000
  5.468s 0.294000,0.000000,4.018000
  5.468s 0.294000,-0.098000,4.018000
  5.468s 0.098000,-0.196000,4.116000
  5.469s 0.098000,-0.098000,3.920000
  5.469s 0.392000,0.000000,4.116000
  5.469s 0.196000,-0.098000,4.116000
  5.469s 0.294000,-0.098000,4.116000
  5.469s 0.294000,-0.196000,4.018000
  5.470s 0.392000,-0.098000,4.116000
  5.470s 0.196000,-0.098000,3.920000
  5.470s 0.294000,-0.294000,3.822000
  5.470s 0.098000,-0.098000,4.018000
  5.470s 0.196000,-0.196000,3.920000
  5.470s 0.490000,-0.196000,3.920000
  5.470s 0.098000,-0.196000,3.920000
  5.471s 0.294000,0.000000,3.920000
  5.471s 0.294000,-0.196000,4.116000
  5.471s 0.294000,-0.294000,4.018000
  5.471s 0.196000,0.000000,4.018000
  5.471s 0.196000,0.000000,4.116000
  5.471s 0.196000,-0.196000,3.920000
  5.472s 0.294000,-0.196000,4.018000
  5.472s 0.392000,-0.098000,4.116000
  5.472s 0.294000,-0.196000,4.214000
  5.472s 0.294000,-0.098000,3.920000
  5.472s 0.098000,0.000000,4.116000
  5.472s 0.392000,-0.294000,3.920000
  5.472s 0.098000,-0.098000,4.018000
  5.473s 0.392000,-0.196000,4.018000
  5.473s 0.392000,-0.098000,4.214000
  5.473s 0.196000,-0.196000,4.116000
  5.473s 0.392000,-0.196000,3.920000
  5.473s 0.196000,-0.196000,4.018000
  5.473s 0.196000,-0.098000,4.018000
  5.474s 0.294000,-0.294000,3.920000
  5.474s 0.392000,-0.196000,4.116000
  5.474s 0.196000,-0.098000,4.116000
  5.474s 0.098000,-0.098000,4.116000
  5.474s 0.196000,-0.196000,4.116000
  5.474s 0.294000,-0.098000,4.018000
  5.475s 0.294000,0.000000,3.920000
  5.475s 0.392000,0.000000,4.116000
  5.475s 0.196000,-0.098000,3.920000
  5.475s 0.196000,-0.196000,4.018000
  5.475s 0.294000,-0.098000,3.822000
  5.475s 0.392000,-0.294000,4.018000
  5.475s 0.196000,-0.098000,4.018000
  5.475s 0.294000,-0.196000,3.626000
  5.476s 0.392000,-0.196000,4.018000
  5.476s 0.294000,-0.196000,4.018000
  5.476s 0.098000,-0.196000,3.920000
  5.476s 0.196000,-0.196000,3.920000
  5.476s 0.294000,-0.098000,3.920000
  5.476s 0.000000,-0.196000,4.018000
  5.476s 0.294000,-0.196000,4.116000
  5.477s 0.196000,-0.196000,3.920000
  5.477s 0.196000,-0.196000,3.920000
  5.477s 0.196000,0.000000,3.724000
  5.477s 0.294000,-0.196000,3.920000
  5.477s 0.294000,-0.098000,4.018000
  5.477s 0.196000,-0.196000,3.920000
  5.477s 0.196000,-0.196000,3.920000
  5.477s 0.392000,-0.098000,3.920000
  5.478s 0.196000,0.000000,4.116000
  5.478s 0.392000,-0.098000,4.018000
  5.478s 0.392000,-0.098000,4.018000
  5.478s 0.294000,-0.196000,3.920000
  5.478s 0.196000,-0.196000,4.018000
  5.478s 0.294000,-0.196000,3.822000
  5.478s 0.294000,-0.196000,4.018000
  5.479s 0.294000,-0.098000,3.920000
  5.479s 0.294000,-0.196000,4.018000
  5.479s 0.294000,0.000000,3.822000
  5.479s 0.196000,-0.098000,3.822000
  5.479s 0.294000,-0.098000,4.018000
